"Step","lr_test: 1e-05 - train_loss","lr_test: 1e-05 - train_loss__MIN","lr_test: 1e-05 - train_loss__MAX","lr_test: 5e-05 - train_loss","lr_test: 5e-05 - train_loss__MIN","lr_test: 5e-05 - train_loss__MAX","lr_test: 0.0001 - train_loss","lr_test: 0.0001 - train_loss__MIN","lr_test: 0.0001 - train_loss__MAX","lr_test: 0.0005 - train_loss","lr_test: 0.0005 - train_loss__MIN","lr_test: 0.0005 - train_loss__MAX","lr_test: 0.001 - train_loss","lr_test: 0.001 - train_loss__MIN","lr_test: 0.001 - train_loss__MAX"
"32","-11.956091856654686","-11.956091856654686","-11.956091856654686","-11.981745695766014","-11.981745695766014","-11.981745695766014","-11.982816490945936","-11.982816490945936","-11.982816490945936","-11.947042187557944","-11.947042187557944","-11.947042187557944","-11.980276216434527","-11.980276216434527","-11.980276216434527"
"33","-11.955977174300182","-11.955977174300182","-11.955977174300182","-11.979768620261662","-11.979768620261662","-11.979768620261662","-11.991503908664365","-11.991503908664365","-11.991503908664365","-11.958695121958286","-11.958695121958286","-11.958695121958286","-11.984291088731982","-11.984291088731982","-11.984291088731982"
"34","-11.95814154419718","-11.95814154419718","-11.95814154419718","-11.98445984079868","-11.98445984079868","-11.98445984079868","-11.987403990347174","-11.987403990347174","-11.987403990347174","-11.964631491069552","-11.964631491069552","-11.964631491069552","-11.980916952785057","-11.980916952785057","-11.980916952785057"
"35","-11.956470948231372","-11.956470948231372","-11.956470948231372","-11.984700999682463","-11.984700999682463","-11.984700999682463","-11.984783039817327","-11.984783039817327","-11.984783039817327","-11.960546396955658","-11.960546396955658","-11.960546396955658","-11.970791587346717","-11.970791587346717","-11.970791587346717"
"36","-11.95848364769658","-11.95848364769658","-11.95848364769658","-11.98597955100144","-11.98597955100144","-11.98597955100144","-11.983674978908104","-11.983674978908104","-11.983674978908104","-11.983059822758541","-11.983059822758541","-11.983059822758541","-11.976054976258096","-11.976054976258096","-11.976054976258096"
"37","-11.957649327531646","-11.957649327531646","-11.957649327531646","-11.990006845208663","-11.990006845208663","-11.990006845208663","-11.980887775179706","-11.980887775179706","-11.980887775179706","-11.988453816763963","-11.988453816763963","-11.988453816763963","-11.986597061157227","-11.986597061157227","-11.986597061157227"
"38","-11.96133003959173","-11.96133003959173","-11.96133003959173","-11.986229280882243","-11.986229280882243","-11.986229280882243","-11.99220919307274","-11.99220919307274","-11.99220919307274","-11.986029383502428","-11.986029383502428","-11.986029383502428","-11.981584102292604","-11.981584102292604","-11.981584102292604"
"39","-11.963408446010154","-11.963408446010154","-11.963408446010154","-11.984499038020267","-11.984499038020267","-11.984499038020267","-11.983851312082026","-11.983851312082026","-11.983851312082026","-11.98446514033064","-11.98446514033064","-11.98446514033064","-11.99188447300392","-11.99188447300392","-11.99188447300392"
"40","-11.960341356977631","-11.960341356977631","-11.960341356977631","-11.976011071024061","-11.976011071024061","-11.976011071024061","-11.97532483595836","-11.97532483595836","-11.97532483595836","-11.978184929376916","-11.978184929376916","-11.978184929376916","-11.983271610887744","-11.983271610887744","-11.983271610887744"
"41","-11.959997768643536","-11.959997768643536","-11.959997768643536","-11.971964594684069","-11.971964594684069","-11.971964594684069","-11.969574131543123","-11.969574131543123","-11.969574131543123","-11.98478035987178","-11.98478035987178","-11.98478035987178","-11.976947651633733","-11.976947651633733","-11.976947651633733"
"42","-11.960423747195474","-11.960423747195474","-11.960423747195474","-11.976290316521366","-11.976290316521366","-11.976290316521366","-11.973846676983412","-11.973846676983412","-11.973846676983412","-12.000487955310676","-12.000487955310676","-12.000487955310676","-11.98280737671671","-11.98280737671671","-11.98280737671671"
"43","-11.9627699067321","-11.9627699067321","-11.9627699067321","-11.97650386713728","-11.97650386713728","-11.97650386713728","-11.976223607606526","-11.976223607606526","-11.976223607606526","-11.9922338678867","-11.9922338678867","-11.9922338678867","-11.968244383606729","-11.968244383606729","-11.968244383606729"
"44","-11.962630923790268","-11.962630923790268","-11.962630923790268","-11.969156905065608","-11.969156905065608","-11.969156905065608","-11.983186251000513","-11.983186251000513","-11.983186251000513","-11.989730098579503","-11.989730098579503","-11.989730098579503","-11.971012236196783","-11.971012236196783","-11.971012236196783"
"45","-11.961699521994289","-11.961699521994289","-11.961699521994289","-11.977012489415422","-11.977012489415422","-11.977012489415422","-11.992879300177853","-11.992879300177853","-11.992879300177853","-11.97907502138162","-11.97907502138162","-11.97907502138162","-11.974868677839448","-11.974868677839448","-11.974868677839448"
"46","-11.96230660209173","-11.96230660209173","-11.96230660209173","-11.979003676885291","-11.979003676885291","-11.979003676885291","-11.994702785829954","-11.994702785829954","-11.994702785829954","-11.979471532604363","-11.979471532604363","-11.979471532604363","-11.970644866363912","-11.970644866363912","-11.970644866363912"
"47","-11.963929888568346","-11.963929888568346","-11.963929888568346","-11.978922397275515","-11.978922397275515","-11.978922397275515","-11.996770013736773","-11.996770013736773","-11.996770013736773","-11.986391622808915","-11.986391622808915","-11.986391622808915","-11.977790458292901","-11.977790458292901","-11.977790458292901"
"48","-11.964719555045985","-11.964719555045985","-11.964719555045985","-11.984055712253232","-11.984055712253232","-11.984055712253232","-11.997313765030873","-11.997313765030873","-11.997313765030873","-11.983928728707228","-11.983928728707228","-11.983928728707228","-11.979837176166003","-11.979837176166003","-11.979837176166003"
"49","-11.964481100251403","-11.964481100251403","-11.964481100251403","-11.985042934176288","-11.985042934176288","-11.985042934176288","-11.998704222184193","-11.998704222184193","-11.998704222184193","-11.980321956586234","-11.980321956586234","-11.980321956586234","-11.985084714768808","-11.985084714768808","-11.985084714768808"
"50","-11.96636834929261","-11.96636834929261","-11.96636834929261","-11.985416122629672","-11.985416122629672","-11.985416122629672","-11.999486802499506","-11.999486802499506","-11.999486802499506","-11.984038256391694","-11.984038256391694","-11.984038256391694","-11.985427313213107","-11.985427313213107","-11.985427313213107"
"51","-11.967584259902374","-11.967584259902374","-11.967584259902374","-11.988828755632232","-11.988828755632232","-11.988828755632232","-11.987134450598608","-11.987134450598608","-11.987134450598608","-11.978795932818063","-11.978795932818063","-11.978795932818063","-11.99069163165515","-11.99069163165515","-11.99069163165515"
"52","-11.971936008598231","-11.971936008598231","-11.971936008598231","-11.982026583031763","-11.982026583031763","-11.982026583031763","-11.987844322301164","-11.987844322301164","-11.987844322301164","-11.985580818562568","-11.985580818562568","-11.985580818562568","-11.983830331247065","-11.983830331247065","-11.983830331247065"
"53","-11.97040047223055","-11.97040047223055","-11.97040047223055","-11.982863353777535","-11.982863353777535","-11.982863353777535","-11.989943419830709","-11.989943419830709","-11.989943419830709","-11.986462170564675","-11.986462170564675","-11.986462170564675","-11.983637230305732","-11.983637230305732","-11.983637230305732"
"54","-11.970438800280608","-11.970438800280608","-11.970438800280608","-11.980414197414737","-11.980414197414737","-11.980414197414737","-11.994457015508338","-11.994457015508338","-11.994457015508338","-11.988769410531733","-11.988769410531733","-11.988769410531733","-11.975642300859283","-11.975642300859283","-11.975642300859283"
"55","-11.972756337515916","-11.972756337515916","-11.972756337515916","-11.981418730337408","-11.981418730337408","-11.981418730337408","-11.992599656310263","-11.992599656310263","-11.992599656310263","-11.989789552326444","-11.989789552326444","-11.989789552326444","-11.957480949691579","-11.957480949691579","-11.957480949691579"
"56","-11.971641226659846","-11.971641226659846","-11.971641226659846","-11.987708622896218","-11.987708622896218","-11.987708622896218","-11.979194447964053","-11.979194447964053","-11.979194447964053","-11.982453237606","-11.982453237606","-11.982453237606","-11.99010696894006","-11.99010696894006","-11.99010696894006"
"57","-11.97149297255504","-11.97149297255504","-11.97149297255504","-11.991761581807197","-11.991761581807197","-11.991761581807197","-11.98825413667703","-11.98825413667703","-11.98825413667703","-11.967946257772326","-11.967946257772326","-11.967946257772326","-11.993460220626638","-11.993460220626638","-11.993460220626638"
"58","-11.975619871405106","-11.975619871405106","-11.975619871405106","-11.997360724437085","-11.997360724437085","-11.997360724437085","-11.998256707493264","-11.998256707493264","-11.998256707493264","-11.983216478854795","-11.983216478854795","-11.983216478854795","-11.99642434904847","-11.99642434904847","-11.99642434904847"
"59","-11.974628726138345","-11.974628726138345","-11.974628726138345","-11.993419659288623","-11.993419659288623","-11.993419659288623","-11.999886754192884","-11.999886754192884","-11.999886754192884","-11.977807153629351","-11.977807153629351","-11.977807153629351","-11.992575669590432","-11.992575669590432","-11.992575669590432"
"60","-11.974287286589417","-11.974287286589417","-11.974287286589417","-11.989983099925366","-11.989983099925366","-11.989983099925366","-11.99102978766719","-11.99102978766719","-11.99102978766719","-11.982271616971946","-11.982271616971946","-11.982271616971946","-11.992854033844381","-11.992854033844381","-11.992854033844381"
"61","-11.974691535853133","-11.974691535853133","-11.974691535853133","-11.988965106915824","-11.988965106915824","-11.988965106915824","-11.988568535333947","-11.988568535333947","-11.988568535333947","-11.988707192336456","-11.988707192336456","-11.988707192336456","-11.980542098419576","-11.980542098419576","-11.980542098419576"
"62","-11.975414734852466","-11.975414734852466","-11.975414734852466","-11.990578084052364","-11.990578084052364","-11.990578084052364","-11.995405112640768","-11.995405112640768","-11.995405112640768","-11.99500722522977","-11.99500722522977","-11.99500722522977","-11.974222122868404","-11.974222122868404","-11.974222122868404"
"63","-11.974022297919552","-11.974022297919552","-11.974022297919552","-11.98397986496551","-11.98397986496551","-11.98397986496551","-12.000014474120322","-12.000014474120322","-12.000014474120322","-11.981246851667573","-11.981246851667573","-11.981246851667573","-11.982832268823552","-11.982832268823552","-11.982832268823552"
"64","-11.978162222270724","-11.978162222270724","-11.978162222270724","-11.991472002826159","-11.991472002826159","-11.991472002826159","-11.989454873000518","-11.989454873000518","-11.989454873000518","-11.980738627759717","-11.980738627759717","-11.980738627759717","-11.97581375701518","-11.97581375701518","-11.97581375701518"
