gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
96.911644,5.512798,0.0,4.8752623,28.728664,0.0,60.194435,79.08956,0.0,-75.342636,-87.82025,0.0,58.30000000000001,28.599999999999994,90
95.29979,34.113106,0.0,-98.8128,-5.6915026,0.0,-6.69698,11.672772,0.0,-4.382799,-54.067448,0.0,-56.7,5.400000000000006,90
97.245056,-61.037895,0.0,-95.63869,-83.49275,0.0,76.43388,27.950085,0.0,52.618137,49.445084,0.0,96.10000000000002,-1.0999999999999943,90
4.7795973,-92.509384,0.0,61.47302,-85.834625,0.0,-20.903872,97.93937,0.0,-5.1736565,-50.363316,0.0,39.6,-64.8,90
19.27862,-87.9659,0.0,-36.14291,8.481434,0.0,-99.262955,22.704203,0.0,-77.67312,97.9911,0.0,-58.2,60.80000000000001,90
12.401889,-31.665363,0.0,-29.729683,11.825716,0.0,-18.207077,-37.802998,0.0,62.241108,-3.921289,0.0,-41.8,-57.0,90
18.565083,-2.712976,0.0,-54.65065,-8.60681,0.0,-7.2977233,20.176836,0.0,54.891285,2.9567838,0.0,3.8000000000000114,20.200000000000003,90
-41.810543,4.715919,0.0,21.883167,7.2244782,0.0,-86.98913,-31.452438,0.0,23.795506,-23.395115,0.0,16.5,27.10000000000001,90
0.5350263,25.341642,0.0,90.20684,68.17709,0.0,-88.037506,-48.959286,0.0,-32.84858,-8.185931,0.0,-75.4,-7.899999999999991,90
-25.024073,-46.85678,0.0,-15.409193,86.877396,0.0,-83.44014,-57.184772,0.0,62.776115,-47.975822,0.0,-78.1,-47.2,90
8.644889,27.237457,0.0,-78.24239,-78.8074,0.0,-91.2067,34.10077,0.0,-39.600677,-3.2759461,0.0,-77.0,13.800000000000011,90
14.821331,-41.0488,0.0,-46.71127,93.90497,0.0,-41.585182,65.93766,0.0,67.03375,-51.49822,0.0,-32.39999999999999,-34.3,90
-71.35533,-90.36474,0.0,-77.466415,-49.564068,0.0,-12.256887,-78.27807,0.0,-21.099575,23.690268,0.0,-77.7,-79.1,90
-92.90378,-49.488552,0.0,95.59816,-62.011116,0.0,99.46829,26.287476,0.0,-54.275738,-27.66433,0.0,95.60000000000002,-15.199999999999989,90
31.428574,22.173925,0.0,51.807964,66.51608,0.0,61.33244,69.610405,0.0,-64.927216,-98.71843,0.0,61.10000000000002,24.60000000000001,90
21.302465,-6.5098414,0.0,55.857517,-72.01567,0.0,-11.197403,78.089745,0.0,64.778435,4.547295,0.0,55.70000000000002,-12.0,90
64.83248,-88.75875,0.0,15.209709,9.739806,0.0,-72.26531,87.53448,0.0,-1.8154535,-30.6943,0.0,30.0,-25.39999999999999,90
-39.865288,68.39153,0.0,50.71904,-78.95778,0.0,91.882904,-20.416634,0.0,94.33351,23.698378,0.0,84.9,11.800000000000011,90
-68.647255,82.926735,0.0,-43.146133,-79.27342,0.0,77.99587,12.078803,0.0,97.295685,23.658648,0.0,71.0,16.60000000000001,90
42.236282,-81.00118,0.0,47.314777,-94.42796,0.0,-93.02079,-72.49305,0.0,98.82248,98.08709,0.0,7.1000000000000085,-100.0,90
11.074853,84.441185,0.0,68.15546,25.970657,0.0,-45.564167,-89.62888,0.0,-38.62585,-19.816961,0.0,-34.099999999999994,22.10000000000001,90
14.58043,-38.10461,0.0,54.38255,90.09762,0.0,-36.897896,-22.347103,0.0,87.29234,20.677185,0.0,61.10000000000002,28.0,90
-23.814669,-31.18439,0.0,73.321106,2.1832757,0.0,-42.976337,2.3188276,0.0,-78.185875,-47.730022,0.0,-30.3,-38.2,90
