gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
2.4016738,-38.421417,0.0,-47.890438,45.30003,0.0,36.310112,80.366455,0.0,87.39225,7.96237,0.0,31.5,70.80000000000001,50
-39.246105,12.284136,0.0,30.078995,-43.586254,0.0,-16.330551,-17.756552,0.0,-37.88882,55.041992,0.0,-44.099999999999994,-1.1999999999999886,50
63.287365,41.150738,0.0,30.560244,-44.07679,0.0,5.226147,-32.113636,0.0,15.48655,82.99415,0.0,58.400000000000006,1.2000000000000028,50
75.44568,-56.631332,0.0,96.33075,-2.2006571,0.0,15.903735,95.034996,0.0,-19.065577,-65.277115,0.0,88.30000000000001,-2.5,50
-17.185514,-94.85819,0.0,63.926064,-22.389084,0.0,-16.548168,57.190918,0.0,-59.126083,-70.064835,0.0,-62.199999999999996,-45.199999999999996,50
80.24032,-62.003613,0.0,-73.142265,-39.687626,0.0,-67.94247,-98.6761,0.0,-92.66297,91.241745,0.0,-58.4,-80.1,50
-97.488884,-35.498375,0.0,-3.277433,95.65252,0.0,-66.63607,99.989655,0.0,83.684456,36.728573,0.0,-24.0,84.4,50
4.496217,54.235123,0.0,-79.12987,40.62736,0.0,79.210915,-57.90877,0.0,62.238026,78.16602,0.0,27.5,64.20000000000002,50
4.4083953,61.10723,0.0,99.23367,-45.814167,0.0,88.145805,-72.43267,0.0,51.971733,-86.88887,0.0,56.70000000000002,-72.6,50
-56.280544,36.177254,0.0,-91.7914,-58.541637,0.0,-3.6099374,55.253174,0.0,-68.26494,-57.26449,0.0,-45.599999999999994,51.80000000000001,50
-38.992126,27.931822,0.0,-81.590965,-36.939766,0.0,-44.71395,14.468551,0.0,16.961432,-69.34342,0.0,-44.8,-25.599999999999994,50
90.432014,-81.57513,0.0,32.22593,-7.3911786,0.0,56.70751,41.894413,0.0,60.187542,70.76217,0.0,35.30000000000001,-9.399999999999991,50
17.962624,63.213585,0.0,64.10358,-89.22537,0.0,60.24778,-45.833218,0.0,-72.30725,32.981003,0.0,94.10000000000002,-7.799999999999997,50
51.9024,52.89346,0.0,81.28819,66.117355,0.0,45.12557,-47.691338,0.0,-88.146416,51.971554,0.0,35.80000000000001,58.10000000000002,50
-17.329592,51.721825,0.0,86.31015,-26.206148,0.0,-83.4179,24.925625,0.0,88.4112,-88.23951,0.0,84.4,9.100000000000009,50
-56.269783,41.383316,0.0,85.800865,78.02196,0.0,-18.73576,-60.681713,0.0,-96.66058,-23.576529,0.0,-38.699999999999996,45.5,50
-69.9707,35.26378,0.0,42.709827,-75.25089,0.0,-65.36368,-36.719143,0.0,-46.81142,12.946105,0.0,-51.4,-63.9,50
94.49071,-73.552704,0.0,-50.32811,10.384787,0.0,48.025917,-90.001724,0.0,-85.83822,81.34317,0.0,-35.39999999999999,-68.5,50
-4.769188,66.618576,0.0,-34.282917,-37.88434,0.0,84.05264,-84.19313,0.0,-88.53305,-82.44816,0.0,-67.6,-62.3,50
70.58649,16.553139,0.0,82.29287,-63.53292,0.0,81.19045,-70.267586,0.0,9.756613,-38.319923,0.0,58.70000000000002,-25.5,50
-50.44335,-56.857765,0.0,-73.84776,-59.52444,0.0,13.006699,74.379906,0.0,-47.211563,50.887444,0.0,-41.5,48.20000000000002,50
67.04774,18.663906,0.0,-7.000166,-71.03959,0.0,60.770237,61.78552,0.0,-37.121098,-11.33731,0.0,43.80000000000001,11.0,50
38.32687,60.46667,0.0,64.67067,-88.747894,0.0,-72.100174,88.9308,0.0,81.79717,78.26866,0.0,21.900000000000006,55.5,50
-21.744823,68.99933,0.0,-31.33645,-2.4856687,0.0,-49.96975,-86.04769,0.0,96.5576,8.434939,0.0,-53.199999999999996,23.5,50
-8.855367,-38.98936,0.0,62.182915,66.69091,0.0,-4.674345,-99.12463,0.0,67.54049,-54.673622,0.0,92.20000000000002,-21.69999999999999,50
-55.496826,-14.579535,0.0,65.48051,-61.85581,0.0,99.39552,-17.951715,0.0,39.773952,28.770565,0.0,43.80000000000001,-39.099999999999994,50
-2.9877841,8.596015,0.0,8.304918,-89.75166,0.0,-91.43987,93.3951,0.0,13.63678,21.292877,0.0,-14.5,21.400000000000006,50
49.63813,58.94809,0.0,57.413673,10.402548,0.0,-6.914526,79.02101,0.0,8.029509,99.654366,0.0,23.400000000000006,69.0,50
22.419464,61.2463,0.0,79.91825,-65.75889,0.0,25.696957,18.836761,0.0,15.457344,-22.521437,0.0,34.30000000000001,-31.700000000000003,50
-8.870089,-3.5965323,0.0,51.555313,-43.61633,0.0,-36.392082,84.92836,0.0,-88.75514,-2.8731406,0.0,-38.699999999999996,31.099999999999994,50
30.548573,19.77575,0.0,-56.62552,93.82233,0.0,-17.369497,79.86798,0.0,-12.622744,17.423677,0.0,-52.0,19.60000000000001,50
62.88364,18.123758,0.0,-11.857992,86.81748,0.0,-45.71755,30.329727,0.0,-87.56641,49.419678,0.0,-58.8,18.10000000000001,50
13.050186,51.099087,0.0,37.03482,50.56399,0.0,65.8221,44.090305,0.0,-48.425312,-93.95453,0.0,9.200000000000003,57.80000000000001,50
49.693253,-49.419384,0.0,-77.081795,-62.95746,0.0,10.098898,-61.735073,0.0,-72.94564,-78.18686,0.0,18.0,-83.2,50
31.249546,94.25539,0.0,-82.42672,81.53905,0.0,18.766344,-35.41213,0.0,97.67789,20.185518,0.0,56.400000000000006,48.099999999999994,50
-10.501373,-7.7988625,0.0,31.145227,51.512123,0.0,-32.364567,-64.38778,0.0,-66.98177,-12.211836,0.0,-49.599999999999994,-13.799999999999997,50
-12.574959,4.4332504,0.0,49.413383,37.018085,0.0,80.92427,15.3904915,0.0,96.7321,24.81798,0.0,56.900000000000006,32.70000000000002,50
86.76963,58.716,0.0,-48.16331,44.340122,0.0,35.9308,47.895767,0.0,-70.61615,-62.87689,0.0,-31.200000000000003,63.80000000000001,50
74.59141,93.341194,0.0,34.31449,93.62414,0.0,-13.7671585,-79.76781,0.0,-30.102884,16.537083,0.0,64.5,16.200000000000003,50
89.82614,42.81093,0.0,-10.0108385,-6.4567685,0.0,-64.30477,33.54646,0.0,-39.44084,-18.926704,0.0,-47.099999999999994,-2.0,50
-18.716694,75.96755,0.0,29.736591,79.84978,0.0,24.70106,-73.74241,0.0,-38.061653,-59.64101,0.0,-37.9,49.70000000000002,50
11.330235,79.10173,0.0,-35.585922,-42.097248,0.0,37.849163,11.7532015,0.0,-34.391094,40.042664,0.0,-70.6,25.0,50
14.230347,70.0907,0.0,64.208626,-50.552456,0.0,2.7632594,78.200874,0.0,-12.371767,-92.211655,0.0,57.900000000000006,31.900000000000006,50
66.01474,-20.239227,0.0,39.77902,86.43805,0.0,70.94625,-51.56328,0.0,-90.19495,81.59299,0.0,-8.799999999999997,47.099999999999994,50
-76.54301,58.163906,0.0,-95.690956,1.8584847,0.0,-75.251526,-14.194465,0.0,77.99665,18.14481,0.0,-76.7,16.900000000000006,50
55.020023,61.787987,0.0,58.04955,19.91787,0.0,-39.342834,45.631123,0.0,51.380276,66.54142,0.0,43.599999999999994,72.10000000000002,50
6.2248945,61.569107,0.0,89.25254,-51.673775,0.0,-38.222652,40.32208,0.0,-85.70249,-18.725437,0.0,-63.5,43.30000000000001,50
-44.24483,-73.75817,0.0,95.47473,-28.277344,0.0,60.104454,20.43209,0.0,30.918968,-13.784957,0.0,60.70000000000002,-67.0,50
-88.64533,-28.90172,0.0,-18.031364,-26.659657,0.0,-59.287136,8.327937,0.0,-78.75599,21.548473,0.0,-55.599999999999994,-30.799999999999997,50
66.12153,-28.695631,0.0,92.93857,-9.912926,0.0,-53.58417,-81.821365,0.0,-78.864075,-8.040703,0.0,39.0,-68.6,50
-81.91271,26.170528,0.0,19.800568,-67.65977,0.0,-27.659685,-73.53693,0.0,70.956024,56.63024,0.0,-5.0,-65.8,50
